_id,State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
85,Andhra Pradesh,5,Anakapalle,7,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,0.27
86,Andhra Pradesh,5,Anakapalle,8,GARA SURYA RAO,Independent,3116,8,3124,0.24
87,Andhra Pradesh,5,Anakapalle,9,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,0.2
88,Andhra Pradesh,5,Anakapalle,10,NAGESWARA RAO PETLA,Independent,2179,5,2184,0.16
89,Andhra Pradesh,5,Anakapalle,11,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,0.14
90,Andhra Pradesh,5,Anakapalle,12,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,0.12
91,Andhra Pradesh,5,Anakapalle,13,DR. THUMMAPALA HARI  SHANKAR,Independent,1567,9,1576,0.12
92,Andhra Pradesh,5,Anakapalle,14,JUNNURI J SRINIVAS,Independent,1195,6,1201,0.09
93,Andhra Pradesh,5,Anakapalle,15,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,0.08
94,Andhra Pradesh,5,Anakapalle,16,NOTA,None of the Above,26084,151,26235,1.98
95,Andhra Pradesh,6,Kakinada,1,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87
96,Andhra Pradesh,6,Kakinada,2,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188,5020,500208,37.62
97,Andhra Pradesh,6,Kakinada,3,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258,851,21109,1.59
98,Andhra Pradesh,6,Kakinada,4,UDAY,Navarang Congress Party,15578,125,15703,1.18
99,Andhra Pradesh,6,Kakinada,5,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916,63,11979,0.9
100,Andhra Pradesh,6,Kakinada,6,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818,36,9854,0.74
101,Andhra Pradesh,6,Kakinada,7,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516,43,6559,0.49
102,Andhra Pradesh,6,Kakinada,8,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924,3,3927,0.3
103,Andhra Pradesh,6,Kakinada,9,BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation),2816,7,2823,0.21
104,Andhra Pradesh,6,Kakinada,10,SUDHA VEERA GANESH,Independent,2645,2,2647,0.2
105,Andhra Pradesh,6,Kakinada,11,BHAVANI SANKAR PRASAD MERLA,Independent,1963,6,1969,0.15
106,Andhra Pradesh,6,Kakinada,12,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762,18,1780,0.13
107,Andhra Pradesh,6,Kakinada,13,BODDETI APPARAO,Independent,1687,-,1687,0.13
108,Andhra Pradesh,6,Kakinada,14,NEELAKANTAM DONAM,Independent,1401,11,1412,0.11
109,Andhra Pradesh,6,Kakinada,15,PASUPULETI S.V.S.BHUSHANAM,Independent,1222,5,1227,0.09
110,Andhra Pradesh,6,Kakinada,16,NOTA,None of the Above,17105,115,17220,1.29
111,Andhra Pradesh,7,Amalapuram (SC),1,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25
112,Andhra Pradesh,7,Amalapuram (SC),2,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95
113,Andhra Pradesh,7,Amalapuram (SC),3,GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16
114,Andhra Pradesh,7,Amalapuram (SC),4,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41
115,Andhra Pradesh,7,Amalapuram (SC),5,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29
116,Andhra Pradesh,7,Amalapuram (SC),6,VADDI LALITH KUMAR,Independent,2974,3,2977,0.23
117,Andhra Pradesh,7,Amalapuram (SC),7,MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16
118,Andhra Pradesh,7,Amalapuram (SC),8,GUDE VENKATESWARULU,Independent,1741,4,1745,0.13
119,Andhra Pradesh,7,Amalapuram (SC),9,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07
120,Andhra Pradesh,7,Amalapuram (SC),10,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06
121,Andhra Pradesh,7,Amalapuram (SC),11,MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06
122,Andhra Pradesh,7,Amalapuram (SC),12,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06
123,Andhra Pradesh,7,Amalapuram (SC),13,YADLA RAJESH,Liberation Congress Party,628,7,635,0.05
124,Andhra Pradesh,7,Amalapuram (SC),14,KAPA KALYAN,Republican Party of India (A),579,2,581,0.04
125,Andhra Pradesh,7,Amalapuram (SC),15,PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04
126,Andhra Pradesh,7,Amalapuram (SC),16,NOTA,None of the Above,13418,100,13518,1.04
127,Andhra Pradesh,8,Rajahmundry,1,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641,7874,726515,54.82
128,Andhra Pradesh,8,Rajahmundry,2,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,483172,4204,487376,36.77
129,Andhra Pradesh,8,Rajahmundry,3,GIDUGU RUDRARAJU,Indian National Congress,31441,1067,32508,2.45
130,Andhra Pradesh,8,Rajahmundry,4,GANESWARA RAO PARAMATA,Bahujan Samaj Party,20277,132,20409,1.54
131,Andhra Pradesh,8,Rajahmundry,5,BATTULA BALARAMAKRISHNA,Navarang Congress Party,16930,78,17008,1.28
132,Andhra Pradesh,8,Rajahmundry,6,SALOPANTULA RAGHAVENDRA RAO,Independent,3261,17,3278,0.25
133,Andhra Pradesh,8,Rajahmundry,7,DR. MEDISI RATNARAO ALIAS VINAY,Independent,3109,6,3115,0.24
134,Andhra Pradesh,8,Rajahmundry,8,MOHANARAO SINGULURI,Jai Bharat National Party,2818,15,2833,0.21
135,Andhra Pradesh,8,Rajahmundry,9,MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular),2422,7,2429,0.18
136,Andhra Pradesh,8,Rajahmundry,10,BOMMANABOINA VSR MURTHY,Independent,2173,6,2179,0.16
137,Andhra Pradesh,8,Rajahmundry,11,BHANU CHANDAR KURUVELLA,Independent,1955,3,1958,0.15
138,Andhra Pradesh,8,Rajahmundry,12,JALLI BALA NAVEENA,Independent,1250,4,1254,0.09
139,Andhra Pradesh,8,Rajahmundry,13,NOTA,None of the Above,24302,133,24435,1.84
140,Andhra Pradesh,9,Narsapuram,1,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46
141,Andhra Pradesh,9,Narsapuram,2,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037,4504,430541,34.98
142,Andhra Pradesh,9,Narsapuram,3,K.B.R.NAIDU,Indian National Congress,34298,915,35213,2.86
143,Andhra Pradesh,9,Narsapuram,4,PRASANNA KUMAR UNDURTHI,Independent,6350,14,6364,0.52
144,Andhra Pradesh,9,Narsapuram,5,MEDAPATI VENKATA VARAHALA REDDY,Independent,5966,3,5969,0.48
145,Andhra Pradesh,9,Narsapuram,6,SIRRA RAJU,Bahujan Samaj Party,5945,69,6014,0.49
146,Andhra Pradesh,9,Narsapuram,7,BALAGAM NAYAKAR,Independent,5232,8,5240,0.43
147,Andhra Pradesh,9,Narsapuram,8,NALLI RAJESH,Independent,4684,-,4684,0.38
148,Andhra Pradesh,9,Narsapuram,9,KETHA SREENU,Independent,3140,5,3145,0.26
149,Andhra Pradesh,9,Narsapuram,10,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112,4,3116,0.25
150,Andhra Pradesh,9,Narsapuram,11,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781,2,2783,0.23
151,Andhra Pradesh,9,Narsapuram,12,ANAND CHANDULAL JASTI,Independent,2726,-,2726,0.22
152,Andhra Pradesh,9,Narsapuram,13,GANJI PURNIMA,Republican Party of India (A),1645,4,1649,0.13
153,Andhra Pradesh,9,Narsapuram,14,GEDALA LAXMANA RAO,Independent,1525,2,1527,0.12
154,Andhra Pradesh,9,Narsapuram,15,ADDANKI DORABABU,Independent,1388,5,1393,0.11
155,Andhra Pradesh,9,Narsapuram,16,GOTTUMUKKALA SHIVAJI,Independent,1378,6,1384,0.11
156,Andhra Pradesh,9,Narsapuram,17,ADINARAYANA DUPPANAPUDI,Independent,1002,5,1007,0.08
157,Andhra Pradesh,9,Narsapuram,18,MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922,8,930,0.08
158,Andhra Pradesh,9,Narsapuram,19,RAMA DURGA PRASAD THOLETI,Independent,919,1,920,0.07
159,Andhra Pradesh,9,Narsapuram,20,RUKHMINI,Independent,683,3,686,0.06
160,Andhra Pradesh,9,Narsapuram,21,ADABALA SIVA,Independent,682,1,683,0.06
161,Andhra Pradesh,9,Narsapuram,22,NOTA,None of the Above,7554,123,7677,0.62
162,Andhra Pradesh,10,Eluru,1,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54
163,Andhra Pradesh,10,Eluru,2,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84
164,Andhra Pradesh,10,Eluru,3,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51
165,Andhra Pradesh,10,Eluru,4,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88
166,Andhra Pradesh,10,Eluru,5,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49
167,Andhra Pradesh,10,Eluru,6,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16
168,Andhra Pradesh,10,Eluru,7,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11
169,Andhra Pradesh,10,Eluru,8,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09
170,Andhra Pradesh,10,Eluru,9,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07
171,Andhra Pradesh,10,Eluru,10,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06
172,Andhra Pradesh,10,Eluru,11,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05
173,Andhra Pradesh,10,Eluru,12,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05
174,Andhra Pradesh,10,Eluru,13,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05
175,Andhra Pradesh,10,Eluru,14,NOTA,None of the Above,22371,144,22515,1.63
176,Andhra Pradesh,11,Machilipatnam,1,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22
177,Andhra Pradesh,11,Machilipatnam,2,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211,6049,501260,38.21
178,Andhra Pradesh,11,Machilipatnam,3,GOLLU KRISHNA,Indian National Congress,31130,695,31825,2.43
179,Andhra Pradesh,11,Machilipatnam,4,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518,623,11141,0.85
180,Andhra Pradesh,11,Machilipatnam,5,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,9911,117,10028,0.76
181,Andhra Pradesh,11,Machilipatnam,6,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5245,9,5254,0.4
182,Andhra Pradesh,11,Machilipatnam,7,VALLABHANENI NAGA PAVAN KUMAR,Independent,5206,14,5220,0.4
183,Andhra Pradesh,11,Machilipatnam,8,MARADANI K R SWAMY,Jai Maha Bharath Party,2206,8,2214,0.17
184,Andhra Pradesh,11,Machilipatnam,9,GANDHI  DHANEKULA,Independent,1989,2,1991,0.15
185,Andhra Pradesh,11,Machilipatnam,10,PAMULA BALA SOWRYAMMA,Independent,1576,6,1582,0.12
186,Andhra Pradesh,11,Machilipatnam,11,ANUSHA YERUVA,Independent,1233,2,1235,0.09
187,Andhra Pradesh,11,Machilipatnam,12,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1102,9,1111,0.08
188,Andhra Pradesh,11,Machilipatnam,13,JOGI VEERANJANEYULU,Independent,1020,2,1022,0.08
189,Andhra Pradesh,11,Machilipatnam,14,DAMODARA RAO GUDAVALLI,Independent,928,2,930,0.07
190,Andhra Pradesh,11,Machilipatnam,15,APPARAO ENNETI,Independent,625,1,626,0.05
191,Andhra Pradesh,11,Machilipatnam,16,NOTA,None of the Above,12008,118,12126,0.92
192,Andhra Pradesh,12,Vijayawada,1,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,58.21
193,Andhra Pradesh,12,Vijayawada,2,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,505637,6432,512069,37.53
194,Andhra Pradesh,12,Vijayawada,3,BHARGAV VALLURU,Indian National Congress,23498,608,24106,1.77
195,Andhra Pradesh,12,Vijayawada,4,KRISHNA KISHORE YANAMANDRA,Navataram Party,7710,168,7878,0.58
196,Andhra Pradesh,12,Vijayawada,5,VENKATA ASHOK PAPPURI,Independent,6672,-,6672,0.49
197,Andhra Pradesh,12,Vijayawada,6,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,3199,-,3199,0.23
198,Andhra Pradesh,12,Vijayawada,7,MEKA VENKATESWARA RAO,Bahujan Samaj Party,2184,49,2233,0.16
199,Andhra Pradesh,12,Vijayawada,8,ANIL KUMAR MADDINENI,Independent,1240,-,1240,0.09
200,Andhra Pradesh,12,Vijayawada,9,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,609,6,615,0.05
201,Andhra Pradesh,12,Vijayawada,10,SYED KHAMURUNNISA,Navarang Congress Party,600,1,601,0.04
202,Andhra Pradesh,12,Vijayawada,11,CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,486,3,489,0.04
203,Andhra Pradesh,12,Vijayawada,12,DATLA LURTHU MERI,Jaibhim Rao Bharat Party,409,8,417,0.03
204,Andhra Pradesh,12,Vijayawada,13,PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),365,3,368,0.03
205,Andhra Pradesh,12,Vijayawada,14,DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,328,3,331,0.02
206,Andhra Pradesh,12,Vijayawada,15,GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),323,4,327,0.02
207,Andhra Pradesh,12,Vijayawada,16,N DASARADHA RAMI REDDY,All India Jaihind Party,268,1,269,0.02
208,Andhra Pradesh,12,Vijayawada,17,CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,239,5,244,0.02
209,Andhra Pradesh,12,Vijayawada,18,NOTA,None of the Above,9038,155,9193,0.67
210,Andhra Pradesh,13,Guntur,1,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68
211,Andhra Pradesh,13,Guntur,2,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5
212,Andhra Pradesh,13,Guntur,3,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61
213,Andhra Pradesh,13,Guntur,4,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39
214,Andhra Pradesh,13,Guntur,5,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3
215,Andhra Pradesh,13,Guntur,6,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14
216,Andhra Pradesh,13,Guntur,7,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12
217,Andhra Pradesh,13,Guntur,8,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09
218,Andhra Pradesh,13,Guntur,9,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09
219,Andhra Pradesh,13,Guntur,10,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07
220,Andhra Pradesh,13,Guntur,11,PILLI BABU RAO,Independent,688,4,692,0.05
221,Andhra Pradesh,13,Guntur,12,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,540,2,542,0.04
222,Andhra Pradesh,13,Guntur,13,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,-,461,0.03
223,Andhra Pradesh,13,Guntur,14,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03
224,Andhra Pradesh,13,Guntur,15,SHAIK. KHAJAVALI,Independent,387,4,391,0.03
225,Andhra Pradesh,13,Guntur,16,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03
226,Andhra Pradesh,13,Guntur,17,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03
227,Andhra Pradesh,13,Guntur,18,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03
228,Andhra Pradesh,13,Guntur,19,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03
229,Andhra Pradesh,13,Guntur,20,ASHOK ANAND GALI,Independent,335,-,335,0.02
230,Andhra Pradesh,13,Guntur,21,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02
231,Andhra Pradesh,13,Guntur,22,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02
